"","year","state","big.bus"
"266",1948,"99",NA
"267",1948,"99",NA
"268",1948,"99",NA
"269",1948,"99",NA
"270",1948,"99",NA
"271",1948,"99",NA
"272",1948,"99",NA
"273",1948,"99",NA
"274",1948,"99",NA
"275",1948,"99",NA
"276",1948,"99",NA
"277",1948,"99",NA
"278",1948,"99",NA
"279",1948,"99",NA
"280",1948,"99",NA
"281",1948,"99",NA
"282",1948,"99",NA
"283",1948,"99",NA
"284",1948,"99",NA
"285",1948,"99",NA
"286",1948,"99",NA
"287",1948,"99",NA
"288",1948,"99",NA
"289",1948,"99",NA
"290",1948,"99",NA
"291",1948,"99",NA
"292",1948,"99",NA
"293",1948,"99",NA
"294",1948,"99",NA
"295",1948,"99",NA
"296",1948,"99",NA
"297",1948,"99",NA
"298",1948,"99",NA
"299",1948,"99",NA
"300",1948,"99",NA
"301",1948,"99",NA
"302",1948,"99",NA
"303",1948,"99",NA
"304",1948,"99",NA
"305",1948,"99",NA
"306",1948,"99",NA
"307",1948,"99",NA
"308",1948,"99",NA
"309",1948,"99",NA
"310",1948,"99",NA
"311",1948,"99",NA
"312",1948,"99",NA
"313",1948,"99",NA
"314",1948,"99",NA
"315",1948,"99",NA
"316",1948,"99",NA
"317",1948,"99",NA
"318",1948,"99",NA
"319",1948,"99",NA
"320",1948,"99",NA
"321",1948,"99",NA
"322",1948,"99",NA
"323",1948,"99",NA
"324",1948,"99",NA
"325",1948,"99",NA
"326",1948,"99",NA
"327",1948,"99",NA
"328",1948,"99",NA
"329",1948,"99",NA
"330",1948,"99",NA
"331",1948,"99",NA
"332",1948,"99",NA
"333",1948,"99",NA
"334",1948,"99",NA
"335",1948,"99",NA
"336",1948,"99",NA
"337",1948,"99",NA
"338",1948,"99",NA
"339",1948,"99",NA
"340",1948,"99",NA
"341",1948,"99",NA
"342",1948,"99",NA
"343",1948,"99",NA
"344",1948,"99",NA
"345",1948,"99",NA
"346",1948,"99",NA
"347",1948,"99",NA
"348",1948,"99",NA
"349",1948,"99",NA
"350",1948,"99",NA
"351",1948,"99",NA
"352",1948,"99",NA
"353",1948,"99",NA
"354",1948,"99",NA
"355",1948,"99",NA
"356",1948,"99",NA
"357",1948,"99",NA
"358",1948,"99",NA
"359",1948,"99",NA
"360",1948,"99",NA
"361",1948,"99",NA
"362",1948,"99",NA
"363",1948,"99",NA
"364",1948,"99",NA
"365",1948,"99",NA
"366",1948,"99",NA
"367",1948,"99",NA
"368",1948,"99",NA
"369",1948,"99",NA
"370",1948,"99",NA
"371",1948,"99",NA
"372",1948,"99",NA
"373",1948,"99",NA
"374",1948,"99",NA
"375",1948,"99",NA
"376",1948,"99",NA
"377",1948,"99",NA
"378",1948,"99",NA
"379",1948,"99",NA
"380",1948,"99",NA
"381",1948,"99",NA
"382",1948,"99",NA
"383",1948,"99",NA
"384",1948,"99",NA
"385",1948,"99",NA
"386",1948,"99",NA
"387",1948,"99",NA
"388",1948,"99",NA
"389",1948,"99",NA
"390",1948,"99",NA
"391",1948,"99",NA
"392",1948,"99",NA
"393",1948,"99",NA
"394",1948,"99",NA
"395",1948,"99",NA
"396",1948,"99",NA
"397",1948,"99",NA
"398",1948,"99",NA
"399",1948,"99",NA
"400",1948,"99",NA
"401",1948,"99",NA
"402",1948,"99",NA
"403",1948,"99",NA
"404",1948,"99",NA
"405",1948,"99",NA
"406",1948,"99",NA
"407",1948,"99",NA
"408",1948,"99",NA
"409",1948,"99",NA
"410",1948,"99",NA
"411",1948,"99",NA
"412",1948,"99",NA
"413",1948,"99",NA
"414",1948,"99",NA
"415",1948,"99",NA
"416",1948,"99",NA
"417",1948,"99",NA
"418",1948,"99",NA
"419",1948,"99",NA
"420",1948,"99",NA
"421",1948,"99",NA
"422",1948,"99",NA
"423",1948,"99",NA
"424",1948,"99",NA
"425",1948,"99",NA
"426",1948,"99",NA
"427",1948,"99",NA
"428",1948,"99",NA
"429",1948,"99",NA
"430",1948,"99",NA
"431",1948,"99",NA
"432",1948,"99",NA
"433",1948,"99",NA
"434",1948,"99",NA
"435",1948,"99",NA
"436",1948,"99",NA
"437",1948,"99",NA
"438",1948,"99",NA
"439",1948,"99",NA
"440",1948,"99",NA
"441",1948,"99",NA
"442",1948,"99",NA
"443",1948,"99",NA
"444",1948,"99",NA
"445",1948,"99",NA
"446",1948,"99",NA
"447",1948,"99",NA
"448",1948,"99",NA
"449",1948,"99",NA
"450",1948,"99",NA
"451",1948,"99",NA
"452",1948,"99",NA
"453",1948,"99",NA
"454",1948,"99",NA
"455",1948,"99",NA
"456",1948,"99",NA
"457",1948,"99",NA
"458",1948,"99",NA
"459",1948,"99",NA
"460",1948,"99",NA
"461",1948,"99",NA
"462",1948,"99",NA
"463",1948,"99",NA
"464",1948,"99",NA
"465",1948,"99",NA
"466",1948,"99",NA
"467",1948,"99",NA
"468",1948,"99",NA
"469",1948,"99",NA
"470",1948,"99",NA
"471",1948,"99",NA
"472",1948,"99",NA
"473",1948,"99",NA
"474",1948,"99",NA
"475",1948,"99",NA
"476",1948,"99",NA
"477",1948,"99",NA
"478",1948,"99",NA
"479",1948,"99",NA
"480",1948,"99",NA
"481",1948,"99",NA
"482",1948,"99",NA
"483",1948,"99",NA
"484",1948,"99",NA
"485",1948,"99",NA
"486",1948,"99",NA
"487",1948,"99",NA
"488",1948,"99",NA
"489",1948,"99",NA
"490",1948,"99",NA
"491",1948,"99",NA
"492",1948,"99",NA
"493",1948,"99",NA
"494",1948,"99",NA
"495",1948,"99",NA
"496",1948,"99",NA
"497",1948,"99",NA
"498",1948,"99",NA
"499",1948,"99",NA
"500",1948,"99",NA
"501",1948,"99",NA
"502",1948,"99",NA
"503",1948,"99",NA
"504",1948,"99",NA
"505",1948,"99",NA
"506",1948,"99",NA
"507",1948,"99",NA
"508",1948,"99",NA
"509",1948,"99",NA
"510",1948,"99",NA
"511",1948,"99",NA
"512",1948,"99",NA
"513",1948,"99",NA
"514",1948,"99",NA
"515",1948,"99",NA
"516",1948,"99",NA
"517",1948,"99",NA
"518",1948,"99",NA
"519",1948,"99",NA
"520",1948,"99",NA
"521",1948,"99",NA
"522",1948,"99",NA
"523",1948,"99",NA
"524",1948,"99",NA
"525",1948,"99",NA
"526",1948,"99",NA
"527",1948,"99",NA
"528",1948,"99",NA
"529",1948,"99",NA
"530",1948,"99",NA
"531",1948,"99",NA
"532",1948,"99",NA
"533",1948,"99",NA
"534",1948,"99",NA
"535",1948,"99",NA
"536",1948,"99",NA
"537",1948,"99",NA
"538",1948,"99",NA
"539",1948,"99",NA
"540",1948,"99",NA
"541",1948,"99",NA
"542",1948,"99",NA
"543",1948,"99",NA
"544",1948,"99",NA
"545",1948,"99",NA
"546",1948,"99",NA
"547",1948,"99",NA
"548",1948,"99",NA
"549",1948,"99",NA
"550",1948,"99",NA
"551",1948,"99",NA
"552",1948,"99",NA
"553",1948,"99",NA
"554",1948,"99",NA
"555",1948,"99",NA
"556",1948,"99",NA
"557",1948,"99",NA
"558",1948,"99",NA
"559",1948,"99",NA
"560",1948,"99",NA
"561",1948,"99",NA
"562",1948,"99",NA
"563",1948,"99",NA
"564",1948,"99",NA
"565",1948,"99",NA
"566",1948,"99",NA
"567",1948,"99",NA
"568",1948,"99",NA
"569",1948,"99",NA
"570",1948,"99",NA
"571",1948,"99",NA
"572",1948,"99",NA
"573",1948,"99",NA
"574",1948,"99",NA
"575",1948,"99",NA
"576",1948,"99",NA
"577",1948,"99",NA
"578",1948,"99",NA
"579",1948,"99",NA
"580",1948,"99",NA
"581",1948,"99",NA
"582",1948,"99",NA
"583",1948,"99",NA
"584",1948,"99",NA
"585",1948,"99",NA
"586",1948,"99",NA
"587",1948,"99",NA
"588",1948,"99",NA
"589",1948,"99",NA
"590",1948,"99",NA
"591",1948,"99",NA
"592",1948,"99",NA
"593",1948,"99",NA
"594",1948,"99",NA
"595",1948,"99",NA
"596",1948,"99",NA
"597",1948,"99",NA
"598",1948,"99",NA
"599",1948,"99",NA
"600",1948,"99",NA
"601",1948,"99",NA
"602",1948,"99",NA
"603",1948,"99",NA
"604",1948,"99",NA
"605",1948,"99",NA
"606",1948,"99",NA
"607",1948,"99",NA
"608",1948,"99",NA
"609",1948,"99",NA
"610",1948,"99",NA
"611",1948,"99",NA
"612",1948,"99",NA
"613",1948,"99",NA
"614",1948,"99",NA
"615",1948,"99",NA
"616",1948,"99",NA
"617",1948,"99",NA
"618",1948,"99",NA
"619",1948,"99",NA
"620",1948,"99",NA
"621",1948,"99",NA
"622",1948,"99",NA
"623",1948,"99",NA
"624",1948,"99",NA
"625",1948,"99",NA
"626",1948,"99",NA
"627",1948,"99",NA
"628",1948,"99",NA
"629",1948,"99",NA
"630",1948,"99",NA
"631",1948,"99",NA
"632",1948,"99",NA
"633",1948,"99",NA
"634",1948,"99",NA
"635",1948,"99",NA
"636",1948,"99",NA
"637",1948,"99",NA
"638",1948,"99",NA
"639",1948,"99",NA
"640",1948,"99",NA
"641",1948,"99",NA
"642",1948,"99",NA
"643",1948,"99",NA
"644",1948,"99",NA
"645",1948,"99",NA
"646",1948,"99",NA
"647",1948,"99",NA
"648",1948,"99",NA
"649",1948,"99",NA
"650",1948,"99",NA
"651",1948,"99",NA
"652",1948,"99",NA
"653",1948,"99",NA
"654",1948,"99",NA
"655",1948,"99",NA
"656",1948,"99",NA
"657",1948,"99",NA
"658",1948,"99",NA
"659",1948,"99",NA
"660",1948,"99",NA
"661",1948,"99",NA
"662",1948,"99",NA
"663",1952,"NY",NA
"664",1952,"NY",NA
"665",1952,"NY",NA
"666",1952,"NY",NA
"667",1952,"OH",NA
"668",1952,"OH",NA
"669",1952,"ID",NA
"670",1952,"MI",NA
"671",1952,"GA",NA
"672",1952,"OH",NA
"673",1952,"OH",NA
"674",1952,"OH",NA
"675",1952,"OH",NA
"676",1952,"NE",NA
"677",1952,"NY",NA
"678",1952,"MI",NA
"679",1952,"MA",NA
"680",1952,"NE",NA
"681",1952,"NY",NA
"682",1952,"NE",NA
"683",1952,"MA",NA
"684",1952,"NE",NA
"685",1952,"NY",NA
"686",1952,"NE",NA
"687",1952,"NE",NA
"688",1952,"NE",NA
"689",1952,"NE",NA
"690",1952,"KY",NA
"691",1952,"ID",NA
"692",1952,"KY",NA
"693",1952,"KY",NA
"694",1952,"KY",NA
"695",1952,"ID",NA
"696",1952,"NE",NA
"697",1952,"OH",NA
"698",1952,"NY",NA
"699",1952,"MO",NA
"700",1952,"NC",NA
"701",1952,"MI",NA
"702",1952,"MI",NA
"703",1952,"AR",NA
"704",1952,"MN",NA
"705",1952,"TN",NA
"706",1952,"MO",NA
"707",1952,"KS",NA
"708",1952,"NE",NA
"709",1952,"OH",NA
"710",1952,"TN",NA
"711",1952,"NY",NA
"712",1952,"MO",NA
"713",1952,"TN",NA
"714",1952,"MO",NA
"715",1952,"MN",NA
"716",1952,"MI",NA
"717",1952,"MI",NA
"718",1952,"AR",NA
"719",1952,"ID",NA
"720",1952,"KS",NA
"721",1952,"TN",NA
"722",1952,"MN",NA
"723",1952,"NE",NA
"724",1952,"OH",NA
"725",1952,"MI",NA
"726",1952,"WI",NA
"727",1952,"NE",NA
"728",1952,"TN",NA
"729",1952,"MO",NA
"730",1952,"NY",NA
"731",1952,"OH",NA
